iter	Passed	Remaining
946	8620	482
947	8628	473
948	8637	464
949	8646	455
950	8655	445
951	8662	436
952	8673	427
953	8687	418
954	8695	409
955	8705	400
956	8713	391
957	8723	382
958	8733	373
959	8741	364
960	8751	355
961	8760	346
962	8770	336
963	8781	327
964	8789	318
965	8798	309
966	8806	300
967	8816	291
968	8823	282
969	8832	273
970	8838	263
971	8847	254
972	8855	245
973	8864	236
974	8871	227
975	8881	218
976	8888	209
977	8897	200
978	8904	191
979	8914	181
980	8921	172
981	8931	163
982	8938	154
983	8946	145
984	8953	136
985	8962	127
986	8970	118
987	8978	109
988	8985	99
989	8995	90
990	9002	81
991	9011	72
992	9020	63
993	9030	54
994	9037	45
995	9046	36
996	9053	27
997	9062	18
998	9069	9
999	9081	0
